tile,scale,entropy,lap_var,grad_energy,blockiness,aliasing,noise_ratio
n03717622_n03717622_12807_75_6_4_100_0_0.png,100,6.34,197.1,7.11,1.35,0.21,0.28
n02086646_n02086646_6740_100_4_5_100_0_0.png,100,7.23,117.7,6.38,1.30,0.17,0.20
n02115641_n02115641_2961_100_2_3_100_0_0.png,100,6.09,303.5,6.69,2.21,0.30,0.44
n03297495_n03297495_3254_100_0_0_100_0_0.png,100,7.72,501.7,6.13,1.51,0.34,0.34
n02087394_n02087394_4708_50_0_0_100_0_0.png,100,7.67,471.7,6.17,1.43,0.33,0.36
n07880968_n07880968_5279_25_0_1_100_0_0.png,100,7.07,131.2,5.45,1.02,0.20,0.20
n02113023_n02113023_3812_100_0_0_100_0_0.png,100,7.07,493.6,5.90,1.31,0.29,0.33
n13052670_n13052670_5913_100_0_1_100_0_0.png,100,7.13,617.0,6.25,1.32,0.30,0.37
n01930112_n01930112_18885_25_0_0_100_0_0.png,100,6.76,204.0,7.05,1.44,0.21,0.13
n01601694_n01601694_5853_75_0_0_100_0_0.png,100,6.49,331.3,5.85,1.15,0.33,0.32
n02105505_n02105505_7996_75_3_1_100_0_0.png,100,7.11,144.8,7.74,1.40,0.18,0.19
n03476684_n03476684_6083_75_1_0_100_0_0.png,100,6.65,359.9,5.59,1.32,0.32,0.35
n02112350_n02112350_884_100_0_0_100_0_0.png,100,7.44,549.7,6.08,1.62,0.39,0.51
n02109047_n02109047_20670_100_1_2_100_0_0.png,100,7.59,541.7,9.05,1.79,0.26,0.23
n03773504_n03773504_4416_100_4_1_100_0_0.png,100,7.05,413.0,5.27,1.23,0.32,0.37
n04133789_n04133789_5406_75_2_2_100_0_0.png,100,6.06,307.4,5.04,1.08,0.23,0.34
n03983396_n03983396_20949_100_0_0_100_0_0.png,100,7.55,255.6,6.20,1.14,0.26,0.22
n02398521_n02398521_11907_75_0_0_100_0_0.png,100,7.67,704.5,6.28,1.55,0.38,0.47
